time,motorStatePos_0,motorStateVel_0,motorAction_0,motorStateCur_0
1769687334.987881,-2.178319,-1.895810,-2.637153,0.071058
1769687335.007876,-2.266909,-1.720023,-2.703203,-0.097268
1769687335.027600,-2.348213,-1.579027,-2.764929,0.000504
1769687335.047604,-2.420696,-1.405072,-2.822231,0.005544
1769687335.067392,-2.485508,-1.181066,-2.875018,0.173870
1769687335.087693,-2.542651,-1.079135,-2.923205,0.054932
1769687335.107901,-2.591357,-0.889310,-2.966716,0.052916
1769687335.127902,-2.632775,-0.735496,-3.005480,0.146656
1769687335.147823,-2.666140,-0.595111,-3.039436,-0.037797
1769687335.167529,-2.691452,-0.528581,-3.068529,0.041829
1769687335.187778,-2.711010,-0.332042,-3.092714,-0.050900
1769687335.207676,-2.720598,-0.120853,-3.111950,0.034773
1769687335.227648,-2.722516,-0.000610,-3.126207,0.053924
1769687335.247715,-2.721365,0.038452,-3.135463,0.074082
1769687335.267813,-2.719831,0.048831,-3.139703,0.076098
1769687335.287111,-2.717914,0.062869,-3.138919,0.092225
1769687335.307130,-2.715229,0.066531,-3.133114,0.085169
1769687335.327174,-2.711777,0.096438,-3.122296,0.073074
1769687335.347092,-2.706025,0.119023,-3.106483,0.049892
1769687335.367218,-2.697588,0.209968,-3.085700,0.147664
1769687335.387409,-2.687617,0.164189,-3.059981,0.215194
1769687335.407796,-2.681097,0.089114,-3.029366,0.247448
1769687335.428020,-2.677262,0.056155,-2.993904,0.204107
1769687335.447253,-2.676111,0.004883,-2.953652,0.203099
1769687335.467280,-2.675728,0.037231,-2.908675,0.196044
1769687335.487696,-2.675728,0.052493,-2.859045,0.198060
1769687335.507459,-2.675344,0.043948,-2.804840,0.191004
1769687335.527542,-2.673810,0.037842,-2.746148,0.209147
1769687335.547514,-2.670359,0.100710,-2.683063,0.176893
1769687335.567370,-2.663456,0.167241,-2.615685,0.130529
1769687335.587391,-2.651567,0.371716,-2.544122,0.179917
1769687335.607387,-2.633925,0.390637,-2.468489,0.354287
1769687335.627640,-2.612832,0.521257,-2.388907,0.148672
1769687335.647541,-2.586370,0.572526,-2.305503,0.369406
1769687335.667441,-2.555690,0.698264,-2.218411,0.175886
1769687335.687470,-2.519257,0.770898,-2.127769,0.237369
1769687335.707365,-2.476304,0.928373,-2.033723,0.350256
1769687335.727412,-2.427215,1.035187,-1.936424,0.371422
1769687335.747602,-2.370456,1.187170,-1.836026,0.305907
1769687335.767545,-2.306411,1.369061,-1.732692,0.175886
1769687335.787553,-2.234311,1.561937,-1.626585,0.402671
1769687335.807129,-2.154926,1.656544,-1.517875,0.225274
1769687335.827147,-2.066719,1.815240,-1.406738,0.307923
1769687335.847152,-1.971225,1.948302,-1.293350,0.377470
1769687335.867595,-1.867679,2.113712,-1.177892,0.306915
1769687335.887725,-1.756462,2.283394,-1.060550,0.245432
1769687335.907663,-1.636424,2.441480,-0.941512,0.393600
1769687335.927429,-1.509099,2.592852,-0.820967,0.257527
1769687335.947627,-1.374872,2.766197,-0.699109,0.393600
1769687335.967583,-1.231824,2.913296,-0.576132,0.448027
1769687335.987472,-1.084174,3.053682,-0.452234,0.446012
1769687336.007707,-0.929237,3.151340,-0.327612,0.383517
1769687336.027546,-0.767397,3.340557,-0.202465,0.301876
1769687336.047580,-0.599804,3.404036,-0.076995,0.319010
1769687336.067548,-0.427610,3.499863,0.048598,0.348240
1769687336.087522,-0.248896,3.639028,0.174113,0.299860
1769687336.107542,-0.067497,3.692129,0.299350,0.203099
1769687336.127633,0.118503,3.731194,0.424108,0.344208
1769687336.147539,0.306805,3.839839,0.548188,0.331105
1769687336.167787,0.497792,3.866084,0.671390,0.230313
1769687336.187628,0.691079,3.892941,0.793518,0.105328
1769687336.207545,0.884367,3.847773,0.914377,0.087185
1769687336.227775,1.077654,3.875852,1.033773,0.133553
1769687336.247746,1.270559,3.803217,1.151515,0.153711
1769687336.267652,1.460395,3.797114,1.267415,0.273654
1769687336.287533,1.649080,3.738518,1.381287,0.188988
1769687336.307513,1.833546,3.683584,1.492949,-0.002520
1769687336.327541,2.014945,3.604236,1.602223,0.154719
1769687336.347536,2.190592,3.500473,1.708933,0.080130
1769687336.367548,2.360101,3.276467,1.812910,0.166814
1769687336.387449,2.525392,3.192847,1.913986,-0.011591
1769687336.407140,2.682248,3.101292,2.012000,-0.076101
1769687336.427257,2.831432,2.964568,2.106794,-0.067030
1769687336.447236,2.971796,2.709434,2.198219,-0.018647
1769687336.467592,3.105255,2.566607,2.286126,0.152703
1769687336.487551,3.229896,2.406080,2.370376,-0.126497
1769687336.507695,3.346097,2.228463,2.450834,0.140608
1769687336.527668,3.452329,2.058167,2.527371,0.155727
1769687336.547673,3.549740,1.881771,2.599864,0.152703
1769687336.567882,3.637563,1.696830,2.668198,0.034773
1769687336.588064,3.715799,1.514938,2.732263,-0.047876
1769687336.607214,3.784446,1.295817,2.791957,-0.010583
1769687336.627839,3.844273,1.134069,2.847184,0.138592
1769687336.647607,3.896046,0.958891,2.897856,0.129521
1769687336.667429,3.938999,0.761743,2.943892,0.053924
1769687336.687684,3.973899,0.639057,2.985218,-0.124482
1769687336.707710,4.000745,0.482192,3.021768,0.105328
1769687336.727628,4.019153,0.304575,3.053484,-0.086181
1769687336.747593,4.032191,0.234382,3.080315,-0.018647
1769687336.767622,4.039861,0.082400,3.102217,0.082145
1769687336.787602,4.039094,-0.088503,3.119157,0.016631
1769687336.807665,4.034492,-0.114139,3.131106,-0.097268
1769687336.827759,4.030657,-0.046998,3.138046,-0.166814
1769687336.847642,4.028740,-0.062258,3.139965,-0.129521
1769687336.867820,4.029507,0.023804,3.136861,-0.135569
1769687336.887827,4.029507,0.012207,3.128739,-0.095252
1769687336.907814,4.029507,0.001221,3.115610,-0.098276
1769687336.927872,4.029123,-0.012817,3.097498,-0.092228
1769687336.947808,4.029123,-0.029908,3.074430,-0.077109
1769687336.967670,4.029507,-0.001831,3.046443,-0.112387
1769687336.987183,4.029123,-0.038453,3.013582,-0.112387
1769687337.007184,4.029507,0.037842,2.975900,-0.133553
1769687337.027172,4.029123,0.025024,2.933457,-0.138592
1769687337.047786,4.029123,-0.023195,2.886320,-0.154719
1769687337.067523,4.029123,0.011597,2.834566,-0.173870
1769687337.087435,4.028740,0.031738,2.778278,-0.199068
1769687337.107649,4.027973,-0.048219,2.717544,-0.254503
1769687337.127587,4.026439,-0.003662,2.652462,-0.265590
1769687337.147473,4.023755,-0.052491,2.583138,-0.263575
1769687337.167393,4.018769,-0.153203,2.509680,-0.247448
1769687337.187520,4.011866,-0.196539,2.432207,-0.262567
1769687337.207642,3.999976,-0.303354,2.350843,-0.113394
1769687337.228057,3.980035,-0.449843,2.265718,-0.320018
1769687337.247527,3.952423,-0.625629,2.176968,-0.142624
1769687337.267951,3.917523,-0.751365,2.084736,-0.360338
1769687337.287485,3.875337,-0.910672,1.989168,-0.407711
1769687337.307919,3.824331,-1.147496,1.890417,-0.436940
1769687337.327628,3.764504,-1.272012,1.788643,-0.361346
1769687337.347344,3.697006,-1.403852,1.684006,-0.206123
1769687337.367822,3.619922,-1.610767,1.576676,-0.399647
1769687337.387293,3.533633,-1.795099,1.466823,-0.438956
1769687337.407692,3.437756,-2.008117,1.354623,-0.315986
1769687337.427667,3.333442,-2.165593,1.240257,-0.379489
1769687337.447172,3.220308,-2.391430,1.123906,-0.430893
1769687337.467027,3.099119,-2.472609,1.005756,-0.204107
1769687337.487264,2.968343,-2.709433,0.885998,-0.421822
1769687337.507639,2.829131,-2.854091,0.764822,-0.433917
1769687337.528165,2.683015,-2.974334,0.642423,-0.417790
1769687337.547270,2.529612,-3.172704,0.518996,-0.417790
1769687337.567259,2.370072,-3.271585,0.394738,-0.419806
